"id","adres","locatie","postcode","zaaknaam","einddatum","begindatum","zaaknummer","zaak_categorie","status_vergunning","zaak_specificatie","o_tijden_terras_vr_za_tot","o_tijden_terras_vr_za_van","o_tijden_terras_zo_do_tot","o_tijden_terras_zo_do_van","openingstijden_vr_za_tot","openingstijden_vr_za_van","openingstijden_zo_do_tot","openingstijden_zo_do_van","status_tijdelijk_terras","tijdelijk_terras_details","publ_besluit_tijdelijk_terras","toestemming_tijdelijk_terras","terrasgeometrie"
"0","Oudezijds Achterburgwal 39A","SRID=4326;POINT(4.89950415415049 52.373688354512)","1012DA","Old Sailor","2022-12-01","2019-12-01","11610","Café","Verleend","Café","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Geweigerd","","01-07-2020","01-07-2020","SRID=4326;MULTIPOLYGON(((4.89953058919125 52.3737427869739,4.89953074523795 52.373742930857,4.89952462810547 52.3737454160192,4.89951116336391 52.3737330008282,4.89950692456927 52.3737290924378,4.89951304170051 52.3737266072765,4.89953058919125 52.3737427869739)),((4.89950898125797 52.3737228633356,4.89950404015674 52.3737248707198,4.89950286412704 52.3737253484966,4.89948516060683 52.3737090249118,4.8994912777365 52.3737065397516,4.89950898125797 52.3737228633356)))"
"1","Rembrandtplein 22-H","SRID=4326;POINT(4.89628909307282 52.3656402022673)","1017CV","Prime","2021-07-01","2018-07-01","14214","Café","Verleend","Eetcafé","2:00","9:00","1:00","9:00","5:00","9:00","3:00","9:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_14695_Rembrandtplein 22-H-1966114_1.DOCX.pdf","23-06-2020","","SRID=4326;MULTIPOLYGON(((4.89628887492411 52.3657008812046,4.89630164727858 52.3656657852069,4.89623028268864 52.3656560528383,4.89621751028069 52.3656911488284,4.89621016754433 52.3657113251547,4.89628153221851 52.3657210575353,4.89628887492411 52.3657008812046)))"
"2","Prinsengracht 188-H","SRID=4326;POINT(4.882675967099 52.3736628762474)","1016HC","Amigo restaurant","2024-03-01","2019-03-01","13203","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Deels verleend","https://terrasvergunningen.amsterdam.nl/ver_13664_Prinsengracht 188-H-2079073_2.DOCX.pdf","21-07-2020","21-07-2020","SRID=4326;MULTIPOLYGON(((4.882721578668 52.3736830480317,4.8827142411288 52.3736832062752,4.88271302077607 52.3736620092916,4.88272035831177 52.3736618510482,4.882721578668 52.3736830480317)))"
"3","Kloveniersburgwal 2-H","SRID=4326;POINT(4.8993009764928 52.3721326713526)","1012CT","Temple Bar","2021-01-01","2019-01-01","15320","Café","Verleend","Café","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Deels verleend","https://terrasvergunningen.amsterdam.nl/ver_15874_Kloveniersburgwal 2-H-1956038_1.DOCX.pdf","16-06-2020","16-06-2020","SRID=4326;MULTIPOLYGON(((4.89950546665514 52.3720577296299,4.89954818115631 52.37211067326,4.89950078384011 52.3721249987626,4.89945806938174 52.3720720551157,4.89950546665514 52.3720577296299)),((4.89935891919467 52.3721068415228,4.89938509179078 52.3720986885106,4.8994137309166 52.3721331300399,4.89938755830542 52.3721412830584,4.89935891919467 52.3721068415228)))"
"4","Amstel 31","SRID=4326;POINT(4.90177073152293 52.3664986198652)","1011PT","Hooischip","2021-03-01","2018-03-01","1733","Café","Verleend","Café","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_1843_Amstel 31-2039976_2.DOCX.pdf","17-07-2020","17-07-2020","SRID=4326;MULTIPOLYGON(((4.90184504235042 52.3665526749854,4.90182049303473 52.3665833430236,4.90177303194219 52.3665691067781,4.90177303194219 52.3665691067781,4.9017846605814 52.366554579818,4.90178466058139 52.366554579818,4.90172295906164 52.3665360720286,4.90172295906164 52.3665360720286,4.90173587811821 52.3665199304685,4.90173587811821 52.3665199304685,4.90184504235042 52.3665526749854)),((4.9017286589167 52.3665074351455,4.90170104644492 52.3665013206074,4.90171902618817 52.3664708956239,4.901746638644 52.3664770101579,4.9017286589167 52.3665074351455)))"
"5","Hartenstraat 17-H","SRID=4326;POINT(4.88604010603545 52.3722391338351)","1016BZ","Kagetsu","2021-03-01","2016-03-01","7875","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_8025_Hartenstraat 17-H-1968417_1.DOCX.pdf","24-06-2020","24-06-2020","SRID=4326;MULTIPOLYGON(((4.88603281602015 52.3722774071176,4.8860034857994 52.372278311864,4.88600274670556 52.3722693359051,4.88603207692042 52.3722684311587,4.88603281602015 52.3722774071176)))"
"6","Gustav Mahlerplein 16","SRID=4326;POINT(4.87302034976389 52.3375541092774)","1082MA","Gustavino","2024-10-01","2019-01-30","8236","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_8429_Gustav Mahlerplein 16-2051824_1.DOCX.pdf","14-07-2020","14-07-2020","SRID=4326;MULTIPOLYGON(((4.87298517222869 52.3367643552574,4.87298548256234 52.3368161794232,4.87275513420493 52.3368155532357,4.87275513418797 52.3368155532356,4.87275548861763 52.3367634648871,4.87298583698272 52.336764052784,4.87298583491686 52.3367643566212,4.87298517222869 52.3367643552574)))"
"7","Oudezijds Achterburgwal 22","SRID=4326;POINT(4.90011032975182 52.3746525146119)","1012DM","Mata Hari","2022-10-01","2017-10-01","10205","Café","Verleend","Eetcafé","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_10613_Oudezijds Achterburgwal 22-2036803_1.DOCX.pdf","22-07-2020","22-07-2020","SRID=4326;MULTIPOLYGON(((4.90014607309098 52.374574131611,4.90017174538457 52.3745631418963,4.90018371856668 52.3745727190343,4.90023472327967 52.3746165181621,4.90031415301282 52.37469367258,4.90028428640728 52.3747051230427,4.90014908275698 52.3745769840268,4.90014607309098 52.374574131611)))"
"8","Nes 67","SRID=4326;POINT(4.89350915026106 52.3700595302549)","1012KD","De Bierfabriek","2024-06-01","2019-06-01","13528","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_14019_Nes 67-2037221_1.DOCX.pdf","14-07-2020","14-07-2020","SRID=4326;MULTIPOLYGON(((4.8935686768623 52.3701612625086,4.89373587750463 52.3701564356569,4.89373739936949 52.3701761858891,4.89357019865304 52.3701810127428,4.8935686768623 52.3701612625086)),((4.89350300610345 52.3701631582679,4.89354700627959 52.3701618880911,4.89354852806072 52.3701816383255,4.89350452786508 52.3701829085029,4.89350300610345 52.3701631582679)))"
"9","Van der Pekstraat 88-H","SRID=4326;POINT(4.91039215590403 52.3894698069272)","1031EG","Royalvis & Traiteur","2022-07-01","2019-05-01","9949","Alcoholvrij","Verleend","Lunchroom","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_10326_Van der Pekstraat 88-H-1965278_ver_10326_Royalvis toestemming uitbreiding terras.pdf","23-06-2020","","SRID=4326;MULTIPOLYGON(((4.91036759895258 52.3894829150682,4.91041848773688 52.3895526745588,4.91039836667659 52.3895581689515,4.91034747791764 52.3894884094525,4.91036759895258 52.3894829150682)))"
