"ID";"Geslacht";"Migratieachtergrond";"Postcode";"Perioden";"Bevolking_1"
"21";"T001038";"T001040";"NL01    ";"2019JJ00";"17282163"
"43";"T001038";"T001040";"PC0999  ";"2019JJ00";"    1835"
"65";"T001038";"T001040";"PC1011  ";"2019JJ00";"    9670"
"87";"T001038";"T001040";"PC1012  ";"2019JJ00";"    8420"
"109";"T001038";"T001040";"PC1013  ";"2019JJ00";"   21335"
"131";"T001038";"T001040";"PC1014  ";"2019JJ00";"    1745"
"153";"T001038";"T001040";"PC1015  ";"2019JJ00";"   14880"
"175";"T001038";"T001040";"PC1016  ";"2019JJ00";"   10915"
"197";"T001038";"T001040";"PC1017  ";"2019JJ00";"   12640"
"219";"T001038";"T001040";"PC1018  ";"2019JJ00";"   20920"
"241";"T001038";"T001040";"PC1019  ";"2019JJ00";"   18910"
"263";"T001038";"T001040";"PC1021  ";"2019JJ00";"    7110"
"285";"T001038";"T001040";"PC1022  ";"2019JJ00";"    3125"
"307";"T001038";"T001040";"PC1023  ";"2019JJ00";"    4670"
"329";"T001038";"T001040";"PC1024  ";"2019JJ00";"   13185"
"351";"T001038";"T001040";"PC1025  ";"2019JJ00";"   15300"
"373";"T001038";"T001040";"PC1026  ";"2019JJ00";"     530"
"395";"T001038";"T001040";"PC1027  ";"2019JJ00";"     505"
"417";"T001038";"T001040";"PC1028  ";"2019JJ00";"     600"
"439";"T001038";"T001040";"PC1031  ";"2019JJ00";"    6390"
"461";"T001038";"T001040";"PC1032  ";"2019JJ00";"    5710"
"483";"T001038";"T001040";"PC1033  ";"2019JJ00";"   12465"
"505";"T001038";"T001040";"PC1034  ";"2019JJ00";"   14610"
"527";"T001038";"T001040";"PC1035  ";"2019JJ00";"   10550"
"549";"T001038";"T001040";"PC1036  ";"2019JJ00";"    2295"
"571";"T001038";"T001040";"PC1037  ";"2019JJ00";"     145"
"593";"T001038";"T001040";"PC1041  ";"2019JJ00";"      10"
"615";"T001038";"T001040";"PC1042  ";"2019JJ00";"      25"
"637";"T001038";"T001040";"PC1043  ";"2019JJ00";"     775"
"659";"T001038";"T001040";"PC1044  ";"2019JJ00";"       0"
"681";"T001038";"T001040";"PC1045  ";"2019JJ00";"      80"
"703";"T001038";"T001040";"PC1046  ";"2019JJ00";"      80"
"725";"T001038";"T001040";"PC1047  ";"2019JJ00";"      30"
"747";"T001038";"T001040";"PC1051  ";"2019JJ00";"   13380"
"769";"T001038";"T001040";"PC1052  ";"2019JJ00";"   12395"
"791";"T001038";"T001040";"PC1053  ";"2019JJ00";"   16375"
"813";"T001038";"T001040";"PC1054  ";"2019JJ00";"   17215"
"835";"T001038";"T001040";"PC1055  ";"2019JJ00";"   20960"
"857";"T001038";"T001040";"PC1056  ";"2019JJ00";"   20245"
"879";"T001038";"T001040";"PC1057  ";"2019JJ00";"   17530"
"901";"T001038";"T001040";"PC1058  ";"2019JJ00";"   15885"
"923";"T001038";"T001040";"PC1059  ";"2019JJ00";"    6520"
"945";"T001038";"T001040";"PC1060  ";"2019JJ00";"   10150"
"967";"T001038";"T001040";"PC1061  ";"2019JJ00";"   15190"
"989";"T001038";"T001040";"PC1062  ";"2019JJ00";"   12740"
"1011";"T001038";"T001040";"PC1063  ";"2019JJ00";"   12795"
"1033";"T001038";"T001040";"PC1064  ";"2019JJ00";"   17010"
